ICD-9 Codes for Family Medicine 2011-2012: The FPM Short List
"Note: Codes that include NOS (not otherwise specified) or unspec. (unspecified) have alternative diagnosis codes that are more specific. These alternatives can be found in or near the section of ICD-9-CM that deals with the relevant three-digit codes. The top 100 codes are indicated with a ""Yes"" in the Top 100 column. These codes have been identified by the authors as especially common in family medicine."
"Compiled by Donald Spencer, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill, Philip S. Whitecar, MD, of the Department of Family Medicine, Wright State University, Dayton, Ohio, and Allen Daugird, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill. Author disclosure: no relevant financial affiliations disclosed. "
Printed copies of this list may be purchased through the AAFP online catalog at http://www.aafp.org/shop/fpm/icd9 or by calling the AAFP Contact Center at 800-274-2237. This and the FPM �Long List� can be downloaded from the FPM web site at http://www.aafp.org/fpm/icd9.
Portions copyright � 2011 American Academy of Family Physicians.
Top	Diagnosis
Diagnosis Section Subsection	100		Code	Description
I. Infectious & Parasitic Diseases			790.7	Bacteremia (not septicemia)
I. Infectious & Parasitic Diseases			052.9	"Chickenpox, NOS"
I. Infectious & Parasitic Diseases			078.11	Condyloma acuminata
I. Infectious & Parasitic Diseases			111.9	"Dermatomycosis, unspec."
I. Infectious & Parasitic Diseases			057.9	"Exanthems, viral, unspec."
I. Infectious & Parasitic Diseases			007.1	Giardiasis
I. Infectious & Parasitic Diseases			098.0	"Gonorrhea, acute, lower GU tract"
I. Infectious & Parasitic Diseases			041.86	Helicobacter pylori
I. Infectious & Parasitic Diseases			070.9	"Hepatitis, viral, NOS"
I. Infectious & Parasitic Diseases			053.9	"Herpes zoster, NOS"
I. Infectious & Parasitic Diseases			054.9	"Herpetic disease, uncomplicated"
I. Infectious & Parasitic Diseases			042	HIV disease
I. Infectious & Parasitic Diseases			V08	"HIV positive, asymptomatic"
I. Infectious & Parasitic Diseases			075	Infectious mononucleosis
I. Infectious & Parasitic Diseases			136.9	"Infectious/parasitic diseases, unspec."
I. Infectious & Parasitic Diseases			487.1	Influenza w/ URI symptoms
I. Infectious & Parasitic Diseases			007.9	"Intestinal protozoa, NOS"
I. Infectious & Parasitic Diseases			088.81	Lyme disease
I. Infectious & Parasitic Diseases			112.0	"Moniliasis, oral"
I. Infectious & Parasitic Diseases			112.3	"Moniliasis, skin/nails"
I. Infectious & Parasitic Diseases			112.1	"Moniliasis, vulva/vagina"
I. Infectious & Parasitic Diseases			132.0	"Pediculosis, head
"
I. Infectious & Parasitic Diseases			132.9	"Pediculosis, unspec."
I. Infectious & Parasitic Diseases			127.4	Pinworms
I. Infectious & Parasitic Diseases			138	"Polio, late effects"
I. Infectious & Parasitic Diseases			795.51	Positive PPD
I. Infectious & Parasitic Diseases			082.0	Rocky mountain spotted fever
I. Infectious & Parasitic Diseases			003.0	Salmonella gastroenteritis
I. Infectious & Parasitic Diseases			135	Sarcoidosis
I. Infectious & Parasitic Diseases			133.0	Scabies
I. Infectious & Parasitic Diseases			995.91	Sepsis
I. Infectious & Parasitic Diseases			038.9	"Septicemia, NOS"
